Entity Type,Tag,Precision,Recall,F1,Support,TP,FP,FN
FAC,B-FAC,0.7151515151515152,0.7239263803680982,0.7195121951219513,163,118,47,45
FAC,I-FAC,0.724907063197026,0.47794117647058826,0.5760709010339734,408,195,74,213
GPE,B-GPE,0.6578947368421053,0.8333333333333334,0.7352941176470588,60,50,26,10
GPE,I-GPE,0.7333333333333333,0.6470588235294118,0.6875,34,22,8,12
LOC,B-LOC,0.7281553398058253,0.7009345794392523,0.7142857142857142,107,75,28,32
LOC,I-LOC,0.6199095022624435,0.7248677248677249,0.6682926829268292,189,137,84,52
ORG,B-ORG,0.0,0.0,0.0,6,0,0,6
ORG,I-ORG,1.0,0.125,0.2222222222222222,8,1,0,7
PER,B-PER,0.8537170263788969,0.8486293206197855,0.8511655708308428,839,712,122,127
PER,I-PER,0.6646803900325027,0.8503118503118503,0.7461234417756156,1443,1227,619,216
VEH,B-VEH,1.0,0.8125,0.896551724137931,16,13,0,3
VEH,I-VEH,0.8260869565217391,0.76,0.7916666666666667,25,19,4,6
