Entity Type,Tag,Precision,Recall,F1,Support,TP,FP,FN
FAC,B-FAC,0.7288135593220338,0.7363013698630136,0.7325383304940375,292,215,80,77
FAC,I-FAC,0.7239884393063584,0.7411242603550295,0.7324561403508771,676,501,191,175
GPE,B-GPE,0.7513812154696132,0.8047337278106509,0.777142857142857,169,136,45,33
GPE,I-GPE,0.6388888888888888,0.71875,0.676470588235294,128,92,52,36
LOC,B-LOC,0.5192307692307693,0.4426229508196721,0.4778761061946903,61,27,25,34
LOC,I-LOC,0.44285714285714284,0.49206349206349204,0.46616541353383456,126,62,78,64
ORG,B-ORG,0.16666666666666666,0.25,0.2,8,2,10,6
ORG,I-ORG,0.28,0.2692307692307692,0.27450980392156865,26,7,18,19
PER,B-PER,0.8740824392998306,0.8566685113447703,0.8652878703186139,1807,1548,223,259
PER,I-PER,0.8350663320186447,0.8129144851657941,0.8238415281216838,2865,2329,460,536
TIME,B-TIME,0.6988847583643123,0.6505190311418685,0.6738351254480287,289,188,81,101
TIME,I-TIME,0.7134831460674157,0.5879629629629629,0.6446700507614213,648,381,153,267
VEH,B-VEH,0.8235294117647058,0.7,0.7567567567567567,40,28,6,12
VEH,I-VEH,0.6451612903225806,0.6349206349206349,0.64,63,40,22,23
