Entity Type,Tag,Precision,Recall,F1,Support,TP,FP,FN
FAC,B-FAC,0.7016129032258065,0.8018433179723502,0.7483870967741936,217,174,74,43
FAC,I-FAC,0.6282051282051282,0.692090395480226,0.6586021505376345,354,245,145,109
GPE,B-GPE,0.7727272727272727,0.7846153846153846,0.7786259541984732,65,51,15,14
GPE,I-GPE,0.7755102040816326,0.5428571428571428,0.638655462184874,70,38,11,32
LOC,B-LOC,0.7029702970297029,0.797752808988764,0.7473684210526316,89,71,30,18
LOC,I-LOC,0.7669902912621359,0.7053571428571429,0.7348837209302326,112,79,24,33
ORG,B-ORG,0.3548387096774194,0.4583333333333333,0.39999999999999997,24,11,20,13
ORG,I-ORG,0.35384615384615387,0.6571428571428571,0.4600000000000001,35,23,42,12
PER,B-PER,0.8808333333333334,0.9151515151515152,0.8976645435244162,1155,1057,143,98
PER,I-PER,0.7812041116005873,0.8280155642023346,0.803928976199471,1285,1064,298,221
VEH,B-VEH,0.7272727272727273,0.6153846153846154,0.6666666666666667,39,24,9,15
VEH,I-VEH,0.7333333333333333,0.5945945945945946,0.6567164179104478,37,22,8,15
