length,correct,false_neg,false_pos,type_error,total_true,recall,precision,f1
1,228,61,82,26,315,0.724,0.679,0.7
2,413,81,69,7,501,0.824,0.845,0.834
3,128,57,57,5,190,0.674,0.674,0.674
4,37,26,24,1,64,0.578,0.597,0.587
5,22,17,19,2,41,0.537,0.512,0.524
6,11,14,5,0,25,0.44,0.688,0.537
7,10,6,10,1,17,0.588,0.476,0.526
8,1,7,6,0,8,0.125,0.143,0.133
9,3,6,3,0,9,0.333,0.5,0.4
10,3,4,1,0,7,0.429,0.75,0.545
11,3,1,6,0,4,0.75,0.333,0.462
12,0,0,1,0,0,0.0,0.0,0.0
13,0,1,1,0,1,0.0,0.0,0.0
14,0,0,2,0,0,0.0,0.0,0.0
15,2,1,1,0,3,0.667,0.667,0.667
16,1,0,3,0,1,1.0,0.25,0.4
17,0,1,1,0,1,0.0,0.0,0.0
19,0,0,1,0,0,0.0,0.0,0.0
20,0,0,1,0,0,0.0,0.0,0.0
21,0,1,1,0,1,0.0,0.0,0.0
25,0,1,1,0,1,0.0,0.0,0.0
26,0,0,1,0,0,0.0,0.0,0.0
29,0,0,1,0,0,0.0,0.0,0.0
30,0,1,1,0,1,0.0,0.0,0.0
31,0,0,1,0,0,0.0,0.0,0.0
32,1,0,0,0,1,1.0,1.0,1.0
34,0,0,1,0,0,0.0,0.0,0.0
