length,correct,false_neg,false_pos,type_error,total_true,recall,precision,f1
1,472,122,134,15,609,0.775,0.76,0.767
2,751,227,181,22,1000,0.751,0.787,0.769
3,410,141,121,7,558,0.735,0.762,0.748
4,147,59,89,6,212,0.693,0.607,0.648
5,59,48,59,3,110,0.536,0.488,0.511
6,25,29,39,2,56,0.446,0.379,0.41
7,16,31,13,1,48,0.333,0.533,0.41
8,13,10,9,1,24,0.542,0.565,0.553
9,0,14,3,0,14,0.0,0.0,0.0
10,2,10,4,0,12,0.167,0.333,0.222
11,0,8,2,0,8,0.0,0.0,0.0
12,2,3,1,0,5,0.4,0.667,0.5
13,1,3,1,0,4,0.25,0.5,0.333
14,0,0,1,0,0,0.0,0.0,0.0
15,0,1,0,0,1,0.0,0.0,0.0
16,0,1,1,0,1,0.0,0.0,0.0
19,0,1,0,0,1,0.0,0.0,0.0
20,0,1,0,0,1,0.0,0.0,0.0
22,0,1,1,0,1,0.0,0.0,0.0
57,0,1,0,0,1,0.0,0.0,0.0
