length,correct,false_neg,false_pos,type_error,total_true,recall,precision,f1
1,700,105,176,23,828,0.845,0.779,0.811
2,263,53,74,7,323,0.814,0.765,0.789
3,148,34,46,7,189,0.783,0.736,0.759
4,71,26,37,5,102,0.696,0.628,0.66
5,33,16,14,2,51,0.647,0.673,0.66
6,14,18,9,0,32,0.438,0.609,0.509
7,11,7,7,1,19,0.579,0.579,0.579
8,5,7,2,0,12,0.417,0.714,0.526
9,3,5,5,1,9,0.333,0.333,0.333
10,3,7,3,0,10,0.3,0.5,0.375
11,0,4,2,0,4,0.0,0.0,0.0
12,1,5,1,0,6,0.167,0.5,0.25
13,1,0,1,0,1,1.0,0.5,0.667
14,0,2,0,0,2,0.0,0.0,0.0
16,0,0,1,0,0,0.0,0.0,0.0
17,0,0,1,0,0,0.0,0.0,0.0
19,1,0,0,0,1,1.0,1.0,1.0
