example_idx,entity,true_type,length,context
0,Chancery,FAC,1,CHAPTER I In Chancery London . Michaelmas
0,London,GPE,1,I In Chancery London . Michaelmas term
0,Lord Chancellor,PER,2,", and the Lord Chancellor sitting in Lincoln"
1,the face of,LOC,3,"newly retired from the face of the earth ,"
4,"street-corners , where",FAC,3,"their foot-hold at street-corners , where tens of thousands"
5,everywhere,LOC,1,Fog everywhere . Fog up
5,up,LOC,1,"everywhere . Fog up the river ,"
5,"the river , where it flows among",LOC,7,". Fog up the river , where it flows among green aits and"
5,down,LOC,1,"meadows ; fog down the river ,"
5,"the river , where it rolls defiled among",LOC,8,"; fog down the river , where it rolls defiled among the tiers of"
5,the tiers of shipping,FAC,4,rolls defiled among the tiers of shipping and the waterside
6,Essex,GPE,1,"Fog on the Essex marshes , fog"
6,the Kentish heights,LOC,3,", fog on the Kentish heights ."
7,collier-brigs,VEH,1,the cabooses of collier-brigs ; fog lying
8,his shivering little ' prentice boy,PER,6,and fingers of his shivering little ' prentice boy on deck .
9,people on,PER,2,Chance people on the bridges peeping
12,that leaden-headed old obstruction,FAC,4,"are muddiest near that leaden-headed old obstruction , appropriate ornament"
12,the threshold of,FAC,3,appropriate ornament for the threshold of a leaden-headed old
12,a leaden-headed old corporation,ORG,4,"the threshold of a leaden-headed old corporation , Temple Bar"
13,Lord High Chancellor,PER,3,", sits the Lord High Chancellor in his High"
13,High Court of Chancery,FAC,4,Chancellor in his High Court of Chancery .
14,High Court of Chancery,FAC,4,"condition which this High Court of Chancery , most pestilent"
16,some score of members of the High Court of Chancery bar,PER,11,such an afternoon some score of members of the High Court of Chancery bar ought to be
20,"the Court of Chancery , which has",FAC,7,"This is the Court of Chancery , which has its decaying houses"
20,its decaying houses and,FAC,4,", which has its decaying houses and its blighted lands"
20,its blighted lands,LOC,3,decaying houses and its blighted lands in every shire
20,its worn-out lunatic,PER,3,", which has its worn-out lunatic in every madhouse"
20,its dead,PER,2,every madhouse and its dead in every churchyard
20,"every churchyard , which has",FAC,5,"its dead in every churchyard , which has its ruined suitor"
20,its ruined suitor with his slipshod heels and threadbare dress,PER,10,", which has its ruined suitor with his slipshod heels and threadbare dress borrowing and begging"
20,every man,PER,2,"the round of every man 's acquaintance ,"
21,the well of solicitors,PER,4,"cause , and the well of solicitors before mentioned ?"
22,the registrar below,PER,3,"There is the registrar below the judge ,"
22,two or three maces,PER,4,"and there are two or three maces , or petty-bags"
22,petty-bags,PER,1,"maces , or petty-bags , or privy"
22,privy purses,PER,2,"petty-bags , or privy purses , or whatever"
24,the rest of the regulars,PER,5,invariably decamp with the rest of the regulars when Jarndyce and
25,the side of,LOC,3,"a seat at the side of the hall ,"
25,a little mad old woman in a squeezed bonnet,PER,9,"sanctuary , is a little mad old woman in a squeezed bonnet who is always"
25,court,FAC,1,"is always in court , from its"
28,a solitary surviving executor,PER,4,"which , being a solitary surviving executor who has fallen"
29,Another ruined suitor,PER,3,"are ended . Another ruined suitor , who periodically"
29,the Chancellor,PER,2,efforts to address the Chancellor at the close
29,the Chancellor,PER,2,to understand that the Chancellor is legally ignorant
32,Jarndyce,PER,1,Jarndyce and Jarndyce drones
36,The little plaintiff,PER,3,The little plaintiff or defendant who
37,Fair wards of court,PER,4,Fair wards of court have faded into
37,old Tom Jarndyce,PER,3,earth perhaps since old Tom Jarndyce in despair blew
37,a coffee-house,FAC,2,brains out at a coffee-house in Chancery Lane
41,counsel,PER,1,when he was counsel at the bar
42,"blue-nosed , bulbous-shoed old benchers",PER,5,"about it by blue-nosed , bulbous-shoed old benchers in select port-wine"
44,the eminent silk gown who said that such a thing might happen when the sky rained potatoes,PER,17,"Mr. Blowers , the eminent silk gown who said that such a thing might happen when the sky rained potatoes , he observed"
44,the maces,PER,2,"that particularly tickled the maces , bags ,"
44,bags,PER,1,"the maces , bags , and purses"
44,purses,PER,1,"bags , and purses ."
45,people,PER,1,How many people out of the
45,Jarndyce,PER,1,of the suit Jarndyce and Jarndyce has
46,the Six Clerks ' Office,FAC,5,the copying-clerk in the Six Clerks ' Office who has copied
48,The very solicitors ' boys,PER,5,The very solicitors ' boys who have kept
48,the wretched suitors,PER,3,"who have kept the wretched suitors at bay ,"
50,Chizzle,PER,1,"Chizzle , Mizzle ,"
50,Mizzle,PER,1,"Chizzle , Mizzle , and otherwise"
53,this Virginian land,LOC,3,still than is this Virginian land in the hour
54,English,PER,1,) which we English call the whippoorwill
59,a river of blood,LOC,4,"crimson , -- a river of blood ."
67,"a poor and rude one , but pleasantly set upon",FAC,10,"house , -- a poor and rude one , but pleasantly set upon a slope of"
67,a slope of green turf,LOC,5,"pleasantly set upon a slope of green turf , and girt"
68,the two Paspahegh lads bought by me from their tribe the Michaelmas before,PER,13,"from their hut the two Paspahegh lads bought by me from their tribe the Michaelmas before , and soundly"
69,rider,PER,1,a horse and rider emerge from the
69,the cleared space before my palisade,FAC,6,"the forest into the cleared space before my palisade , nor knew"
69,the bank,LOC,2,"voice came up the bank , that my"
70,the inclosure,FAC,2,the horse within the inclosure .
71,Thou careful man,PER,3,“ Thou careful man ! ” he
74,the green bank,LOC,3,we went up the green bank to the house
78,Mars,PER,1,“ Thou Mars incarnate ! ”
78,the meantime soldier,PER,3,", and in the meantime soldier !"
96,the boats upon,VEH,3,And the boats upon the river !
100,a goodly ship down there,VEH,5,"“ There 's a goodly ship down there , with a"
101,fourscore waiting damsels and milkmaids,PER,5,"Videlicet , some fourscore waiting damsels and milkmaids , warranted honest"
101,my,PER,1,"warranted honest by my Lord Warwick ,"
101,Lord Warwick,PER,2,"honest by my Lord Warwick , ” I"
109,this land in which we have cast our lot,LOC,9,bind us to this land in which we have cast our lot .
110,our Egypt,GPE,2,and look to our Egypt and its fleshpots
111,wife,PER,1,-- be that wife princess or peasant
111,a man,PER,2,", that bind a man with chains of"
111,the country where they abide,LOC,5,of gold to the country where they abide .
112,Master Wickham,PER,2,I met good Master Wickham rowing down from
125,the most perfect reasoning and observing machine that,PER,8,"take it , the most perfect reasoning and observing machine that the world has"
130,woman,PER,1,", and that woman was the late"
132,home-centred,FAC,1,", and the home-centred interests which rise"
132,the man who first finds himself,PER,6,rise up around the man who first finds himself master of his
132,master of,PER,2,first finds himself master of his own establishment
132,his own establishment,FAC,3,"himself master of his own establishment , were sufficient"
135,my former friend,PER,3,knew little of my former friend and companion .
135,companion,PER,1,former friend and companion .
159,a particularly malignant boot-slitting specimen of,PER,6,that you had a particularly malignant boot-slitting specimen of the London slavey
159,the,PER,1,boot-slitting specimen of the London slavey .
166,the steps which lead up from,FAC,6,have frequently seen the steps which lead up from the hall to
166,the hall to,FAC,3,lead up from the hall to this room .
171,seventeen steps,FAC,2,"that there are seventeen steps , because I"
199,numerous glass-factories,FAC,2,and for its numerous glass-factories and paper-mills .
199,paper-mills,FAC,1,numerous glass-factories and paper-mills .
206,the German who is so uncourteous to his verbs,PER,9,It is the German who is so uncourteous to his verbs .
211,the,FAC,1,making over of the John Grier Home
211,John Grier,PER,2,over of the John Grier Home into a
212,an,FAC,1,the head of an orphan asylum !
212,orphan,PER,1,head of an orphan asylum !
216,Pendleton,PER,1,held about the Pendleton fireside .
221,the,FAC,1,in charge of the John Grier Home
221,John Grier,PER,2,charge of the John Grier Home .
223,society women,PER,2,useless lives that society women lead .
224,the Female Inebriate Asylum,FAC,4,the inmates of the Female Inebriate Asylum .
234,Gordon Hallock,PER,2,young politician named Gordon Hallock is to be
237,JOHN GRIER,PER,2,"THE JOHN GRIER HOME , February"
237,Dear Judy,PER,2,February 15 . Dear Judy : We arrived
238,orphan,PER,1,for superintendents of orphan asylums to bring
239,The night watchman,PER,3,"The night watchman and housekeeper ,"
239,housekeeper,PER,1,"night watchman and housekeeper , who had"
243,a strange woodshed,FAC,3,"off whimpering to a strange woodshed , and given"
252,the lavatory,FAC,2,girls made in the lavatory over my head
256,Lord,PER,1,", "" The Lord Will Provide """
258,the world,LOC,2,any spot in the world so entirely ugly
269,the,FAC,1,to come to the John Grier Home
269,John Grier,PER,2,come to the John Grier Home through the
269,the president of our board of,PER,6,"Jervis Pendleton , the president of our board of trustees , and"
269,trustees,PER,1,"our board of trustees , and of"
274,Jervis,PER,1,have n't seen Jervis 's wonderful Scotch
274,the rest of these people,PER,5,"make up for the rest of these people , especially the"
282,village,GPE,1,one that the village drug store contained
288,an old ladies,PER,3,"for her in an old ladies ' home ,"
290,the steps,FAC,2,Going down the steps I opened it
295,a magnificent specimen of the higher type of humanity,PER,9,hair -- altogether a magnificent specimen of the higher type of humanity .
298,my little dried-up self,PER,4,a curious contrast my little dried-up self presented to his
300,Good,PER,1,"Then there was Good , who is"
313,the veldt,LOC,2,going back to the veldt . ’ Sir
314,Good,PER,1,"‘ eh , Good ?"
324,Good,PER,1,"n’t you , Good ?"
326,the squire,PER,2,more except play the squire in a country
326,a country that is sick of,GPE,6,the squire in a country that is sick of squires .
326,squires,PER,1,is sick of squires .
329,the victim of an almost unaccountable craving,PER,7,I have become the victim of an almost unaccountable craving .
335,no wife,PER,2,"I have no wife or parent ,"
342,Good,PER,1,him again . Good is so overpoweringly
344,Good,PER,1,"Shut up , Good ! ’ said"
349,Island of Lamu,LOC,3,hear of the Island of Lamu ?
352,the unknown interior,LOC,3,right on into the unknown interior .
359,you fellows,PER,2,If you fellows like to come
362,Mt Kenia,GPE,2,’s go to Mt Kenia and the other
366,THE PLACE WHERE,FAC,3,I TREATS OF THE PLACE WHERE OLIVER TWIST WAS
366,other public buildings,FAC,3,HIS BIRTH Among other public buildings in a certain
367,this world of sorrow and trouble,LOC,6,"was ushered into this world of sorrow and trouble , by the"
367,the parish,FAC,2,"trouble , by the parish surgeon , it"
371,"pauper old woman , who was rendered rather misty by an unwonted allowance of beer",PER,15,", but a pauper old woman , who was rendered rather misty by an unwonted allowance of beer ; and a"
371,a parish,FAC,2,beer ; and a parish surgeon who did
372,"a male infant who had not been possessed of that very useful appendage , a voice , for a much longer space of time than three minutes and a quarter",PER,30,"been expected from a male infant who had not been possessed of that very useful appendage , a voice , for a much longer space of time than three minutes and a quarter ."
391,the body,PER,2,"surgeon leaned over the body , and raised"
395,a nobleman or a,PER,4,the child of a nobleman or a beggar ; it
395,beggar,PER,1,nobleman or a beggar ; it would
396,a parish,FAC,2,at once -- a parish child -- the
396,all,PER,1,"-- despised by all , and pitied"
396,none,PER,1,and pitied by none .
397,"an orphan , left to the tender mercies of",PER,9,"that he was an orphan , left to the tender mercies of church-wardens and overseers"
399,the workhouse,FAC,2,duly reported by the workhouse authorities to the
399,the parish,FAC,2,workhouse authorities to the parish authorities .
400,The parish,FAC,2,The parish authorities inquired with
400,the workhouse,FAC,2,"with dignity of the workhouse authorities , whether"
400,no female then domiciled in ',PER,6,whether there was no female then domiciled in ' the house '
401,The workhouse,FAC,2,The workhouse authorities replied with
402,the parish,FAC,2,"Upon this , the parish authorities magnanimously and"
402,twenty or thirty other juvenile offenders against the poor-laws,PER,9,"off , where twenty or thirty other juvenile offenders against the poor-laws , rolled about"
407,another experimental philosopher,PER,3,the story of another experimental philosopher who had a
408,the fathers it had never known in this,PER,8,there gathered to the fathers it had never known in this .
409,a parish,FAC,2,interesting inquest upon a parish child who had
410,the beadle,PER,2,the testimony of the beadle ; the former
410,the body,PER,2,had always opened the body and found nothing
411,the beadle,PER,2,and always sent the beadle the day before
413,The first place that I can well remember,LOC,8,My Early Home The first place that I can well remember was a large
415,"our master ’s house , which stood by the roadside",FAC,10,"a gate at our master ’s house , which stood by the roadside ; at the"
415,a grove of fir trees,LOC,5,"the meadow was a grove of fir trees , and at"
415,a running brook overhung by a steep bank,LOC,8,at the bottom a running brook overhung by a steep bank .
420,six young colts,PER,3,There were six young colts in the meadow
424,The colts who live here,PER,5,The colts who live here are very good
424,very good colts,PER,3,"live here are very good colts , but they"
424,cart-horse colts,PER,2,"but they are cart-horse colts , and of"
425,any horse I ever knew,PER,5,"sweetest temper of any horse I ever knew , and I"
427,a wise old horse,PER,4,"knew she was a wise old horse , and our"
428,Pet,PER,1,often called her Pet .
434,All the horses,PER,3,All the horses would come to
434,his favorites,PER,2,think we were his favorites .
437,the colts,PER,2,"called fun with the colts , throwing stones"
442,the colts,PER,2,to chase the colts . This is
444,the man who looked after,PER,5,"Old Daniel , the man who looked after the horses ,"
444,the horses,PER,2,"who looked after the horses , was just"
446,the woods,LOC,2,still hung over the woods and meadows .
447,the other colts,PER,3,I and the other colts were feeding at
448,The oldest of,PER,3,The oldest of the colts raised
448,the colts,PER,2,The oldest of the colts raised his head
450,an old riding horse of,PER,5,My mother and an old riding horse of our master ’s
450,our master ’s,PER,3,riding horse of our master ’s were also standing
455,some of them,PER,3,"on horseback , some of them in green coats"
456,The old horse,PER,3,The old horse snorted and looked
456,we young colts,PER,3,"them , and we young colts wanted to be"
456,here,LOC,1,lower down ; here it seemed as
457,the old horse,PER,3,", ” said the old horse ; “ perhaps"
467,two fine horses,PER,3,"sad sight ; two fine horses were down ,"
467,the grass,LOC,2,was groaning on the grass .
468,the water,LOC,2,getting out of the water covered with mud
470,one of,PER,2,", ” said one of the colts ."
470,the colts,PER,2,said one of the colts .
472,an old horse,PER,3,"though I am an old horse , and have"
472,good horses,PER,2,", often spoil good horses , and tear"
472,horses,PER,1,"we are only horses , and do"
477,the pride of,PER,3,"man , and the pride of his family ."
479,the black horse that lay groaning on the grass,PER,9,"to look at the black horse that lay groaning on the grass , he felt"
480,the black horse,PER,3,was still ; the black horse moved no more
481,that horse,PER,2,"she had known that horse for years ,"
481,“ Rob Roy ”,PER,4,his name was “ Rob Roy ” ; he was
481,a good horse,PER,3,"; he was a good horse , and there"
484,The _ Lusitania _,VEH,4,The _ Lusitania _ had been struck
500,A patriotic one,PER,3,. ” “ A patriotic one ? ” The
516,Shipmate,PER,1,", beginning ‘ Shipmate ."
523,The _ Lusitania _,VEH,4,The _ Lusitania _ settled with a
525,THE YOUNG ADVENTURERS,PER,3,"CHAPTER I . THE YOUNG ADVENTURERS , LTD ."
525,old thing,PER,2,"“ TOMMY , old thing !"
526,Tuppence,PER,1,"” “ Tuppence , old bean"
526,old bean,PER,2,"“ Tuppence , old bean ! ” The"
526,the Dover Street Tube,FAC,4,and momentarily blocked the Dover Street Tube exit in doing
545,Here,FAC,1,Here we are at
545,Lyons ’,FAC,2,"we are at Lyons ’ , and we"
549,my dear,PER,2,"bargain _ , my dear !"
551,two Johnnies,PER,2,“ I passed two Johnnies in the street
551,some one,PER,2,to-day talking about some one called Jane Finn
565,Miss Prudence Cowley,PER,3,"Abridged biography of Miss Prudence Cowley , fifth daughter"
565,Little Missendell,GPE,2,"Archdeacon Cowley of Little Missendell , Suffolk ."
566,home,FAC,1,) of her home life early in
566,an officers ’ hospital,FAC,4,where she entered an officers ’ hospital .
576,the aforementioned Lieutenant,PER,3,", namely : the aforementioned Lieutenant Thomas Beresford ."
576,Thomas Beresford,PER,2,the aforementioned Lieutenant Thomas Beresford .
582,those brass hats,PER,3,sickening the way those brass hats drove from the
582,the _ Savoy _,FAC,4,"War Office to the _ Savoy _ , and from"
582,the _ Savoy _,FAC,4,", and from the _ Savoy _ to the War"
586,bus,VEH,1,", and a bus conductress by way"
599,one who keeps a public ordinary,PER,6,"but rather as one who keeps a public ordinary , at which"
599,all persons,PER,2,", at which all persons are welcome for"
601,the master of an ordinary,PER,5,this happens to the master of an ordinary .
609,the most paltry alleys under the same name,FAC,8,be found in the most paltry alleys under the same name .
618,the country,LOC,2,"is found in the country , and shall"
620,those who like our bill of fare,PER,7,will now detain those who like our bill of fare no longer from
622,that part of,LOC,3,In that part of the western division
622,the western division of,LOC,4,that part of the western division of this kingdom which
622,this kingdom,GPE,2,western division of this kingdom which is commonly
622,gentleman,PER,1,"still , a gentleman whose name was"
622,Allworthy,PER,1,"whose name was Allworthy , and who"
622,the favourite of both nature and fortune,PER,7,well be called the favourite of both nature and fortune ; for both
625,his youth,PER,2,gentleman had in his youth married a very
625,a very worthy and beautiful woman,PER,6,"his youth married a very worthy and beautiful woman , of whom"
627,a place where he should never part with her more,FAC,10,her again in a place where he should never part with her more -- sentiments for
630,"that species of women whom you commend rather for good qualities than beauty , and who are generally called , by their own sex ,",PER,25,"She was of that species of women whom you commend rather for good qualities than beauty , and who are generally called , by their own sex , very good sort"
630,very good sort of women,PER,5,"own sex , very good sort of women -- as good"
632,person,PER,1,the charms of person in a woman
632,her whole sex,PER,3,ever laid for her whole sex .
634,"those paragons for whom the men are all wishing , sighing , dying , and spreading every net in their power",PER,21,"and cowardly deserts those paragons for whom the men are all wishing , sighing , dying , and spreading every net in their power ; and constantly"
634,that higher order of women,PER,5,the heels of that higher order of women for whom the
634,the other sex,PER,3,women for whom the other sex have a more
635,a better judge than,PER,4,I am myself a better judge than any pitiful critic
636,home,FAC,1,at his return home .
638,no family,PER,2,"heart , and no family ."
640,Mary,PER,1,"CHAP . I. Mary , the heroine"
640,the heroine of this fiction,PER,5,"I. Mary , the heroine of this fiction , was the"
640,Eliza,PER,1,", who married Eliza , a gentle"
640,"a gentle , fashionable girl",PER,5,"married Eliza , a gentle , fashionable girl , with a"
643,another in a more distinguished rank of life,PER,8,"soon after recommending another in a more distinguished rank of life , she readily"
645,a _ gourmand _,PER,4,to say which a _ gourmand _ would give the
648,that horrid place vulgarly called _,LOC,6,": she dreaded that horrid place vulgarly called _ hell _ ,"
648,hell _,LOC,2,"vulgarly called _ hell _ , the regions"
656,the swain,PER,2,", which caught the swain by the upper-garment"
657,a knight-errant,PER,2,new kind of a knight-errant into the world
664,the lonely arbors,LOC,3,"the lovers to the lonely arbors , and would"
673,her station,FAC,2,the duties of her station occur to her
674,the awkward thing,PER,3,she would send the awkward thing away .
677,own maid,PER,2,interim desired her own maid to teach her
681,a thick wood,LOC,3,would sit in a thick wood in the park
689,her constant friends,PER,3,"nature , were her constant friends and confidants ."
689,confidants,PER,1,constant friends and confidants .
690,the Great First Cause,PER,4,"began to consider the Great First Cause , formed just"
