example_idx,entity,pred_type,length,context
0,Michaelmas,PER,1,Chancery London . Michaelmas term lately over
1,streets,FAC,1,mud in the streets as if the
1,earth,LOC,1,"face of the earth , and it"
4,street-corners,FAC,1,"their foot-hold at street-corners , where tens"
5,the,LOC,1,". Fog up the river , where"
5,river,LOC,1,"Fog up the river , where it"
5,green aits and meadows,LOC,4,it flows among green aits and meadows ; fog down
5,the,LOC,1,"; fog down the river , where"
5,river,LOC,1,"fog down the river , where it"
5,great ( and dirty ) city,GPE,6,pollutions of a great ( and dirty ) city .
6,Essex marshes,LOC,2,"Fog on the Essex marshes , fog on"
6,Kentish,LOC,1,fog on the Kentish heights .
7,yards,FAC,1,out on the yards and hovering in
8,wrathful skipper,PER,2,"pipe of the wrathful skipper , down in"
9,Chance people on the bridges,PER,5,Chance people on the bridges peeping over the
9,parapets,FAC,1,peeping over the parapets into a nether
10,streets,FAC,1,"places in the streets , much as"
10,spongey fields,LOC,2,", from the spongey fields , be seen"
11,Most of the shops,FAC,4,Most of the shops lighted two hours
12,muddy streets,FAC,2,", and the muddy streets are muddiest near"
12,"leaden-headed old corporation , Temple Bar",ORG,6,"threshold of a leaden-headed old corporation , Temple Bar ."
13,his High Court of Chancery,FAC,5,High Chancellor in his High Court of Chancery .
14,this,ORG,1,floundering condition which this High Court of
15,Lord High Chancellor,PER,3,"ever , the Lord High Chancellor ought to be"
15,large advocate,PER,2,addressed by a large advocate with great whiskers
17,various solicitors in the cause,PER,5,"an afternoon the various solicitors in the cause , some two"
18,registrar,PER,1,) between the registrar 's red table
19,the,FAC,1,Well may the court be dim
19,court,FAC,1,"Well may the court be dim ,"
19,uninitiated from the,PER,3,"well may the uninitiated from the streets , who"
19,streets,FAC,1,"uninitiated from the streets , who peep"
19,Lord High Chancellor,PER,3,dais where the Lord High Chancellor looks into the
20,the Court of Chancery,FAC,4,"This is the Court of Chancery , which has"
20,its decaying houses,FAC,3,", which has its decaying houses and its blighted"
20,every churchyard,FAC,2,"its dead in every churchyard , which has"
20,ruined suitor,PER,2,which has its ruined suitor with his slipshod
20,every man 's acquaintance,PER,4,"the round of every man 's acquaintance , which gives"
20,monied might,PER,2,which gives to monied might the means abundantly
20,honourable man,PER,2,is not an honourable man among its practitioners
21,the Lord Chancellor 's court,FAC,5,to be in the Lord Chancellor 's court this murky afternoon
21,the,PER,1,"Lord Chancellor , the counsel in the"
21,counsel in the cause,PER,4,"Chancellor , the counsel in the cause , two or"
21,two or three counsel,PER,4,"the cause , two or three counsel who are never"
21,well,PER,1,", and the well of solicitors before"
21,solicitors,PER,1,the well of solicitors before mentioned ?
22,registrar,PER,1,There is the registrar below the judge
22,judge,PER,1,"registrar below the judge , in wig"
24,short-hand writers,PER,2,"The short-hand writers , the reporters"
24,reporters of the court,PER,4,"writers , the reporters of the court , and the"
24,reporters of the newspapers,PER,4,", and the reporters of the newspapers invariably decamp with"
24,rest of the regulars,PER,4,decamp with the rest of the regulars when Jarndyce and
25,little mad old woman in a squeezed bonnet,PER,8,", is a little mad old woman in a squeezed bonnet who is always"
26,Some,PER,1,Some say she really
26,party to a suit,PER,4,"was , a party to a suit , but no"
28,sallow prisoner,PER,2,A sallow prisoner has come up
28,solitary surviving executor,PER,3,", being a solitary surviving executor who has fallen"
29,Chancellor,PER,1,understand that the Chancellor is legally ignorant
29,My Lord,PER,2,"call out "" My Lord !"
31,few lawyers ' clerks and others who know this suitor by sight,PER,12,A few lawyers ' clerks and others who know this suitor by sight linger on the
33,parties,PER,1,The parties to it understand
36,little plaintiff or defendant,PER,4,The little plaintiff or defendant who was promised
36,Jarndyce,PER,1,new rocking-horse when Jarndyce and Jarndyce should
36,Jarndyce,PER,1,when Jarndyce and Jarndyce should be settled
36,the,LOC,1,trotted away into the other world .
36,other world,LOC,2,away into the other world .
37,Fair,FAC,1,Fair wards of court
37,mothers and grandmothers,PER,3,have faded into mothers and grandmothers ; a long
37,old Tom Jarndyce in,PER,4,earth perhaps since old Tom Jarndyce in despair blew his
37,coffee-house in Chancery Lane,FAC,4,out at a coffee-house in Chancery Lane ; but Jarndyce
37,the,FAC,1,"dreary length before the court , perennially"
37,court,FAC,1,"length before the court , perennially hopeless"
39,many,PER,1,"been death to many , but it"
40,Every master in Chancery,PER,4,Every master in Chancery has had a
41,somebody or other,PER,3,", "" for somebody or other , when he"
41,the bar,FAC,2,was counsel at the bar .
42,select port-wine committee,ORG,3,old benchers in select port-wine committee after dinner in
44,last Lord Chancellor,PER,3,The last Lord Chancellor handled it neatly
45,many people out of the suit Jarndyce and Jarndyce,PER,9,How many people out of the suit Jarndyce and Jarndyce has stretched forth
46,master,PER,1,From the master upon whose impaling
46,copying-clerk in the Six Clerks ',PER,6,down to the copying-clerk in the Six Clerks ' Office who has
48,very solicitors ' boys,PER,4,The very solicitors ' boys who have kept
49,receiver in the cause,PER,4,The receiver in the cause has acquired a
50,the,FAC,1,got out of the office .
50,office,FAC,1,out of the office .
51,world,LOC,1,that if the world go wrong it
54,some,PER,1,"not , as some assert , a"
57,reeds,LOC,1,water among the reeds is like the
57,one who,PER,2,the breathing of one who sleeps in his
58,the,LOC,1,"broad bosom of the river , leaving"
58,river,LOC,1,"bosom of the river , leaving it"
58,dead man,PER,2,leaving it a dead man 's hue .
59,crimson,LOC,1,"it had been crimson , -- a"
60,heavens,LOC,1,trail across the heavens ; and the
61,"good Mr. Stockham , our minister at Weyanoke",PER,8,"being Sunday , good Mr. Stockham , our minister at Weyanoke , exhorted us"
61,Indian subjects of the Lord 's anointed,PER,7,head amongst the Indian subjects of the Lord 's anointed .
62,more timorous,PER,2,"services , the more timorous began to tell"
62,divers portents,PER,2,to tell of divers portents which they had
62,savages,PER,1,of how the savages distressed us in
63,women,PER,1,", but the women began to weep"
63,savages,PER,1,"ever held the savages , and more"
63,Opechancanough,PER,1,more especially that Opechancanough who was now
63,red men,PER,2,us that the red men watched while we
63,Jesuit,PER,1,"wiliness to a Jesuit , and how"
64,many,PER,1,; of how many were employed as
64,soldier,PER,1,"arms , a soldier 's bread ,"
65,"hunter , red-brown and naked",PER,5,"shadows , a hunter , red-brown and naked , rose from"
66,the,PER,1,scant love between the savages and myself
66,savages,PER,1,"love between the savages and myself ,"
67,my cousin Percy,PER,3,"before , by my cousin Percy ) , was"
68,two Paspahegh lads bought by me from,PER,7,their hut the two Paspahegh lads bought by me from their tribe the
68,their tribe the Michaelmas,PER,4,"by me from their tribe the Michaelmas before , and"
69,the,LOC,1,my eyes upon the pallid stream below
69,pallid stream below,LOC,3,"eyes upon the pallid stream below , my thoughts"
69,horse,VEH,1,not see a horse and rider emerge
69,"my good friend , Master John Rolfe",PER,7,"bank , that my good friend , Master John Rolfe , was without"
71,careful man,PER,2,“ Thou careful man ! ” he
74,green bank,LOC,2,went up the green bank to the house
74,the,FAC,1,"green bank to the house , and"
74,house,FAC,1,"bank to the house , and ,"
77,woman,PER,1,"smooth as a woman 's , and"
78,soldier,PER,1,in the meantime soldier !
89,commander worth,PER,2,"he be a commander worth having , love"
94,the,PER,1,"“ I was the only man ,"
94,only man,PER,2,"I was the only man , i '"
94,the,LOC,1,and I met the world -- the
94,world,LOC,1,I met the world -- the bachelor
94,bachelor world,LOC,2,world -- the bachelor world -- flocking to
96,boats,VEH,1,And the boats upon the river
96,the,LOC,1,the boats upon the river ! I
96,river,LOC,1,boats upon the river ! I have
97,fields,LOC,1,"busy in the fields , and did"
99,maids,PER,1,"Humph ! The maids have come ,"
100,goodly ship,VEH,2,"There 's a goodly ship down there ,"
101,Videlicet,PER,1,"” “ Videlicet , some fourscore"
101,some fourscore waiting damsels and milkmaids,PER,6,"“ Videlicet , some fourscore waiting damsels and milkmaids , warranted honest"
101,my Lord Warwick,PER,3,"warranted honest by my Lord Warwick , ” I"
104,the,VEH,1,seen them leave the ship .
104,ship,VEH,1,them leave the ship .
108,land,LOC,1,The land is new and
108,those,PER,1,", nor will those who come after"
108,nation,GPE,1,to whom a nation owes its birth
109,this land,LOC,2,bind us to this land in which we
111,wife princess,PER,2,-- be that wife princess or peasant --
111,man,PER,1,that bind a man with chains of
111,the,GPE,1,of gold to the country where they
111,country,GPE,1,gold to the country where they abide
112,good Master Wickham,PER,3,midday I met good Master Wickham rowing down from
112,the,PER,1,", I gave the good man Godspeed"
112,good man,PER,2,"I gave the good man Godspeed , and"
112,Lord,PER,1,pleasing to the Lord .
113,the,LOC,1,"“ I love the land , and"
118,city,GPE,1,"tide to the city , and secure"
125,world,LOC,1,"machine that the world has seen ,"
125,lover,PER,1,but as a lover he would have
127,observer,PER,1,things for the observer -- excellent for
130,that woman,PER,2,"him , and that woman was the late"
130,late Irene Adler,PER,3,"woman was the late Irene Adler , of dubious"
132,man who first finds himself master of his own establishment,PER,10,"up around the man who first finds himself master of his own establishment , were sufficient"
132,society,ORG,1,every form of society with his whole
132,our lodgings in Baker Street,FAC,5,", remained in our lodgings in Baker Street , buried among"
133,the,ORG,1,as hopeless by the official police .
133,official police,ORG,2,hopeless by the official police .
135,my former friend and companion,PER,5,knew little of my former friend and companion .
136,patient,PER,1,journey to a patient ( for I
137,Scarlet,GPE,1,"the Study in Scarlet , I was"
138,blind,PER,1,silhouette against the blind .
142,the chamber,FAC,2,shown up to the chamber which had formerly
146,Wedlock,PER,1,""" Wedlock suits you ,"
149,harness,FAC,1,to go into harness .
151,most clumsy and careless servant girl,PER,6,you have a most clumsy and careless servant girl ?
152,My dear Holmes,PER,3,""" "" My dear Holmes , "" said"
158,someone,PER,1,been caused by someone who has very
160,gentleman,PER,1,", if a gentleman walks into my"
160,active member of the medical profession,PER,6,to be an active member of the medical profession .
166,the hall,FAC,2,lead up from the hall to this room
176,gentleman,PER,1,", "" a gentleman who desires to"
177,one of the royal houses of Europe,FAC,7,recent services to one of the royal houses of Europe have shown that
177,one,PER,1,that you are one who may safely
193,Gesellschaft,ORG,1,"stands for ' Gesellschaft , ' which"
193,German for ' Company,ORG,4,which is the German for ' Company .
198,German-speaking country,GPE,2,is in a German-speaking country -- in Bohemia
203,man who wrote the note,PER,5,. And the man who wrote the note is a German
203,German,PER,1,note is a German .
205,Frenchman or,PER,2,' A Frenchman or Russian could not
206,German,PER,1,It is the German who is so
207,this German,PER,2,is wanted by this German who writes upon
211,the John Grier Home,FAC,4,making over of the John Grier Home into a model
211,model institution,FAC,2,"Home into a model institution , and that"
212,"Sallie McBride , the head of an orphan asylum",PER,9,"-- I , Sallie McBride , the head of an orphan asylum !"
214,curator of a zoo,PER,4,to become the curator of a zoo .
215,interesting Scotch doctor,PER,3,as bait an interesting Scotch doctor ? My dear
215,My dear Judy,PER,3,"Scotch doctor ? My dear Judy , -- likewise"
215,my dear Jervis,PER,3,", -- likewise my dear Jervis , -- I"
217,college,FAC,1,since she left college ?
221,John Grier Home,FAC,3,charge of the John Grier Home .
223,your,FAC,1,last visit in your delectable household Jervis
225,very desirable politician,PER,3,"he is a very desirable politician , even though"
226,asylum,FAC,1,it from the asylum 's point of
230,few theaters and operas,FAC,4,Foundling Hospital a few theaters and operas and a dinner
232,successor,PER,1,only as a successor to Mrs. Lippett
234,charming young politician named Gordon Hallock,PER,6,seasonable . A charming young politician named Gordon Hallock is to be
237,THE JOHN GRIER HOME,FAC,4,"THE JOHN GRIER HOME , February 15"
237,Singapore,GPE,1,"last night , Singapore and Jane and"
237,Jane and I,PER,3,", Singapore and Jane and I ."
238,superintendents of orphan asylums,PER,4,be customary for superintendents of orphan asylums to bring with
238,Chinese chows,PER,2,personal maids and Chinese chows .
239,watchman,PER,1,"The night watchman and housekeeper ,"
241,watchman,PER,1,", and the watchman , after studying"
243,Poor Sing,PER,2,my family . Poor Sing was dragged off
243,strange woodshed,FAC,2,"whimpering to a strange woodshed , and given"
246,parental,FAC,1,return to the parental fireside in Worcester
247,the,PER,1,being popular with the rest of the
247,rest of the staff,PER,4,popular with the rest of the staff .
249,Jane,PER,1,last stand on Jane .
251,neither of us,PER,3,"are , and neither of us very welcome ,"
253,baths,FAC,1,"do not get baths , -- just"
253,pool,FAC,1,puppies in a pool .
259,mother,PER,1,need is a mother apiece .
260,scurrilous Gordon Hallock,PER,3,", because that scurrilous Gordon Hallock laughed so uproariously"
260,asylum,FAC,1,to manage an asylum .
263,their three or four hundred children and thousand grandchildren,PER,9,say nothing of their three or four hundred children and thousand grandchildren .
267,The,PER,1,LATER . The staff had mutton
267,staff,PER,1,LATER . The staff had mutton hash
268,children,PER,1,What the children had I hate
269,the John Grier Home,FAC,4,to come to the John Grier Home through the generosity
269,"Mr. Jervis Pendleton , the president of our board of trustees",PER,11,"the generosity of Mr. Jervis Pendleton , the president of our board of trustees , and of"
269,"Mrs. Pendleton , the dear "" Aunt Judy "" of",PER,10,", and of Mrs. Pendleton , the dear "" Aunt Judy "" of every little boy"
269,every little boy and girl here,PER,6,"Judy "" of every little boy and girl here ."
270,Pendleton family,PER,2,my featuring the Pendleton family so prominently .
271,entire working staff of the institution,PER,6,". As the entire working staff of the institution was present ,"
271,headquarters,FAC,1,"come straight from headquarters , and not"
272,children,PER,1,The children stopped eating and
272,superintendent,PER,1,attributes in a superintendent .
274,Jervis 's wonderful Scotch doctor,PER,5,"have n't seen Jervis 's wonderful Scotch doctor yet , but"
274,rest of these people,PER,4,"up for the rest of these people , especially the"
274,kindergarten teacher,PER,2,", especially the kindergarten teacher ."
276,children,PER,1,closed and the children out of doors
282,village drug store,FAC,3,one that the village drug store contained ) likewise
