example_idx,entity,true_type,length,context
0,Saint - Front,GPE,3,"il arriva à Saint - Front , petite ville"
0,une aventure,TIME,2,"de Cassini , une aventure qui fit beaucoup"
2,Une chaise de poste,VEH,4,Une chaise de poste entra dans la
3,femme,PER,1,Une voix de femme demanda des chevaux
4,l ' épidémie,TIME,3,", vu que l ' épidémie ( cette même"
4,certains relais sur les routes peu fréquentées,FAC,7,en permanence dans certains relais sur les routes peu fréquentées ) en avait
4,l ' attelage,VEH,3,fallait attendre que l ' attelage qui venait de
4,la patache,VEH,2,venait de conduire la patache fût un peu
9,"une jeune femme d ' une beauté vive et saisissante , mais pâlie par la fatigue",PER,16,"C ' était une jeune femme d ' une beauté vive et saisissante , mais pâlie par la fatigue ."
10,l ' offre d ' une chambre,TIME,7,"Elle refusa l ' offre d ' une chambre , et ,"
10,la berline,VEH,2,"et dormir dans la berline , elle s"
11,La servante,PER,2,"La servante , chargée de"
11,son quart de nuit,TIME,4,"chargée de veiller son quart de nuit , se remit"
17,"une ville aux rues anguleuses et sombres , au pavé raboteux",GPE,11,"la voyageuse , une ville aux rues anguleuses et sombres , au pavé raboteux ; une ville"
25,La cuisine de,FAC,3,La cuisine de l ' auberge
25,l ' auberge,FAC,3,La cuisine de l ' auberge n ' était
26,tout l ' intérieur de,FAC,5,"ombre tremblotante sur tout l ' intérieur de la pièce ,"
27,le lieu,LOC,2,aucune remarque sur le lieu où elle se
28,l ' éboulement d ' une petite avalanche de cendre,TIME,10,Tout à coup l ' éboulement d ' une petite avalanche de cendre dégagea deux tisons
37,cette date,TIME,2,Et cette date ! 10 février
37,10 février 182,TIME,3,cette date ! 10 février 182 … ! Oh
38,cette date,TIME,2,ces noms et cette date sont ici ?
49,ce temps - ci,TIME,4,"Dans ce temps - ci , toutes les"
51,la route de,FAC,3,sont accoutumées à la route de Paris dans ce
51,Paris,GPE,1,la route de Paris dans ce temps
52,aux lieux,LOC,2,qui me ramène aux lieux que je voulais
56,mademoiselle Pauline D,PER,3,dans cette ville mademoiselle Pauline D … ?
61,le garçon d ' écurie et les postillons,PER,8,"couchées , que le garçon d ' écurie et les postillons ne connaissaient au"
61,leurs chevaux,VEH,2,au monde que leurs chevaux .
62,mademoiselle Pauline D,PER,3,lui apprendre que mademoiselle Pauline D … n '
63,la remise,FAC,2,sa voiture sous la remise et qu '
66,les bergères,PER,2,' Astrée ; les bergères avaient des reprises
66,les bergers en lambeaux,PER,4,"visage , et les bergers en lambeaux flottaient suspendus à"
67,de guerrier romain,PER,3,une monstrueuse tête de guerrier romain dessinée à l
71,"Quelle nuit de douleur et d ' espoir , de regret et d ' attente",TIME,15,"Quelle nuit de douleur et d ' espoir , de regret et d ' attente !"
