example_idx,entity,pred_type,length,context
0,SARRASINE,PER,1,SARRASINE . À MONSIEUR
0,MONSIEUR CHARLES DE BERNARD DU GRAIL,PER,6,SARRASINE . À MONSIEUR CHARLES DE BERNARD DU GRAIL . J ’
0,homme frivole,PER,2,", même un homme frivole , au sein"
2,jardin de l ’ hôtel,FAC,5,mon aise le jardin de l ’ hôtel où je passais
5,vivants,PER,1,la danse des vivants !
6,salon splendide,FAC,2,"un salon splendide , aux parois"
7,"plus jolies femmes de Paris , les plus riches , les mieux titrées , éclatantes , pompeuses , éblouissantes de diamants",PER,21,"et papillonnaient les plus jolies femmes de Paris , les plus riches , les mieux titrées , éclatantes , pompeuses , éblouissantes de diamants !"
9,blondes,PER,1,"dentelles , les blondes , la mousseline"
11,amants,PER,1,"significatifs pour les amants , et des"
11,maris,PER,1,négatives pour les maris .
12,joueurs,PER,1,"de voix des joueurs , à chaque"
12,monde,PER,1,ce que le monde peut offrir de
13,hommes en joie,PER,3,"là , les hommes en joie ."
14,ville la plus amusante du monde,GPE,6,rendent Paris la ville la plus amusante du monde et la plus
16,salons,FAC,1,"chaleur moite des salons , accident assez"
18,maréchal de Carigliano,PER,3,ans que le maréchal de Carigliano le lui a
21,monsieur de Nucingen,PER,3,que le sont monsieur de Nucingen ou monsieur de
21,monsieur de Gondreville,PER,3,de Nucingen ou monsieur de Gondreville ?
22,deux interlocuteurs,PER,2,et reconnus les deux interlocuteurs pour appartenir à
26,chercheurs de mystères,PER,3,était ouverte aux chercheurs de mystères .
27,famille de Lanty,PER,3,"pays venait la famille de Lanty , ni de"
28,Tous les membres de cette famille,PER,6,Tous les membres de cette famille parlaient l ’
29,bohémiens,PER,1,- ce des bohémiens ? étaient -
29,flibustiers,PER,1,- ce des flibustiers ?
30,diable,PER,1,ce serait le diable ! disaient de
30,jeunes politiques,PER,2,"! disaient de jeunes politiques , ils reçoivent"
31,comte de Lanty,PER,3,— Le comte de Lanty eût - il
32,philosophe,PER,1,’ écriait un philosophe . Qui n
32,"Marianina , jeune fille de seize ans",PER,7,"’ aurait épousé Marianina , jeune fille de seize ans , dont la"
32,poètes orientaux,PER,2,fabuleuses conceptions des poètes orientaux ?
33,fille du sultan,PER,3,Comme la fille du sultan dans le conte
34,Malibran,PER,1,"talents incomplets des Malibran , des Sontag"
34,Sontag,PER,1,"Malibran , des Sontag , des Fodor"
34,Fodor,PER,1,"Sontag , des Fodor , chez lesquelles"
42,jeune fille,PER,2,"discours , une jeune fille peut se laisser"
42,homme,PER,1,"femmes , un homme doit savoir ,"
42,cabinet,FAC,1,"d ’ un cabinet , la femme"
42,femme de chambre,PER,3,"cabinet , la femme de chambre lui brise deux"
45,comtesse de Lanty,PER,3,"Telle était la comtesse de Lanty . Filippo ,"
45,"Filippo , frère de Marianina",PER,5,"de Lanty . Filippo , frère de Marianina , tenait ,"
45,comtesse,PER,1,merveilleuse de la comtesse .
46,Antinoüs,PER,1,"de l ’ Antinoüs , avec des"
48,type,PER,1,", comme un type , il demeurait"
50,comte de Lanty,PER,3,"Le comte de Lanty était petit ,"
50,Espagnol,PER,1,"sombre comme un Espagnol , ennuyeux comme"
50,banquier,PER,1,ennuyeux comme un banquier .
51,monsieur de Metternich,PER,3,et citait toujours monsieur de Metternich ou Wellington .
51,Wellington,PER,1,de Metternich ou Wellington .
53,monsieur,PER,1,La réserve que monsieur et madame de
53,monde,LOC,1,quatre parties du monde n ’ eût
54,nul pays,GPE,2,En nul pays peut - être
56,haute,ORG,1,Pourvu que la haute société sache le
56,personne,PER,1,"égales , et personne ne vous demande"
