example_idx,entity,true_type,length,context
4,"Bionda , d ' un biondo acceso",PER,7,"Bionda , d ' un biondo acceso , quasi fulvo"
6,"nemici , questi",PER,3,"avesse avuto dei nemici , questi , parlando di"
31,terzo piano del palazzo d ' Accorsi,FAC,7,Negroni era al terzo piano del palazzo d ' Accorsi .
32,"madre di donna Marina , vedova del conte Negroni",PER,9,"aveva sposata la madre di donna Marina , vedova del conte Negroni , morto giovane"
37,piccolo crocchio di domestici,PER,4,Un piccolo crocchio di domestici avvertì il passaggio
41,appartamento di gala della Duchessa d ' Accorsi,FAC,8,", l ' appartamento di gala della Duchessa d ' Accorsi , splendide le"
44,specie di salotto - serra,FAC,5,"riescì in una specie di salotto - serra , piena d"
52,donna sui quarantacinque,PER,3,"Una donna sui quarantacinque , forse più"
58,Duchessa,PER,1,allo scrittoio della Duchessa e sostenne senza
80,Duchessa,PER,1,allo scrittoio della Duchessa .
84,Ginevra,PER,1,— disse poscia Ginevra — tu diventi
98,angiolo di donnina,PER,3,Elisa è un angiolo di donnina .
112,sopraggiunta,PER,1,"e salutò la sopraggiunta , colla massima"
125,"protagonista del mio racconto , il chiarissimo Tizio Caio Sempronio , cittadino romano , dell ' ordine dei cavalieri",PER,19,"domanderete . Il protagonista del mio racconto , il chiarissimo Tizio Caio Sempronio , cittadino romano , dell ' ordine dei cavalieri ."
127,ordine solo,ORG,2,"cavalieri formavano un ordine solo , ed erano"
128,equestre,PER,1,", l ' equestre e il plebeo"
130,"consoli Servio Sulpicio Rufo e Marco Claudio Marcello , egregie persone",PER,11,", sotto i consoli Servio Sulpicio Rufo e Marco Claudio Marcello , egregie persone , di cui"
133,Scopa,PER,1,una statua di Scopa .
139,grossi poderi,LOC,2,Aveva grossi poderi a Tivoli e
143,giovani promettenti,PER,2,"vaglia , o giovani promettenti , come Cesare"
143,Cesare,PER,1,"promettenti , come Cesare e Catilina ,"
143,Catilina,PER,1,"come Cesare e Catilina , lo avevano"
143,quel caro matto di Clodio,PER,5,"; e perfino quel caro matto di Clodio , prima di"
148,suoi latifondi,FAC,2,fioccare sopra i suoi latifondi .
151,Terme di Olimpiade,FAC,3,"Agrippina e le Terme di Olimpiade , e di"
153,edificio diviso in due scompartimenti principali,FAC,6,Figuratevi un edificio diviso in due scompartimenti principali : l '
153,"atrium , o cavaedium",FAC,4,": l ' atrium , o cavaedium , coi suoi"
153,altro,FAC,1,uno all ' altro riuniti da una
153,due corridoi,FAC,2,", e da due corridoi ( fauces )"
155,"prothyrum , o vestibolo , androne di entrata",FAC,8,", entriamo pel prothyrum , o vestibolo , androne di entrata dall ' uscio"
156,vestibolo,FAC,1,"Varcato il vestibolo , si riesce"
162,questa forma d ' atrio,FAC,5,Ma questa forma d ' atrio parve ben presto
168,vestibolo,FAC,1,"Di fronte al vestibolo , dall '"
168,"tablino , archivio ad un tempo e sala di ricevimento",FAC,10,", è il tablino , archivio ad un tempo e sala di ricevimento ."
171,vestibolo,FAC,1,"che entri dal vestibolo , può guardare"
174,dei Lari,PER,2,il tabernacolo degli dei Lari .
176,giovinetti succinti,PER,2,"costantemente rappresentati come giovinetti succinti , inghirlandati di"
178,"dei Penati , o patroni della famiglia",PER,7,"si adoravano gli dei Penati , o patroni della famiglia , che potevano"
178,abitatori dell ' Olimpo,PER,4,altro qualsivoglia degli abitatori dell ' Olimpo .
179,peristilio,FAC,1,", entriamo nel peristilio ."
180,camere,FAC,1,i corridoi le camere per uso della
181,massaia,PER,1,"se è una massaia , che bada"
182,massaie,PER,1,non ci sono massaie . Tizio Caio
182,scapolo,PER,1,"Caio Sempronio è scapolo , e non"
186,servi e i ragazzi,PER,4,"ove dormono i servi e i ragazzi , come nelle"
186,camere a tetto di tante case signorili,FAC,7,", come nelle camere a tetto di tante case signorili del tempo nostro"
187,casa,FAC,1,In casa del mio amico
187,mio amico Tizio Caio Sempronio,PER,5,In casa del mio amico Tizio Caio Sempronio si dorme poco
193,suo cuoco,PER,2,"facea pompa il suo cuoco , e la"
197,triclinio,FAC,1,II . Il triclinio . Siamo alle
199,stuolo di Satiri,PER,3,adocchiata da uno stuolo di Satiri .
207,"corso Vinzaglio , in via Roma",LOC,6,"sul tranvai del corso Vinzaglio , in via Roma ."
211,classi,PER,1,"essendovi separazione di classi , può accadere"
212,quella ragazza,PER,2,quella contadina e quella ragazza esaminavano le loro
212,creature piovute da un altro mondo,PER,6,avessero avuto davanti creature piovute da un altro mondo .
214,processione di personaggi,PER,3,sfilò davanti una processione di personaggi che conoscevo soltanto
214,famiglia a parte di compagni abituali di viaggio,PER,8,me come una famiglia a parte di compagni abituali di viaggio ; e mi
217,personaggi,PER,1,"rassegna i "" personaggi "" che m"
218,tranvai della linea del Martinetto,VEH,5,"la trovavo sul tranvai della linea del Martinetto , alla prima"
218,centro di Torino,LOC,3,andar verso il centro di Torino .
220,cocchiere,PER,1,"dalla parte del cocchiere ; lui ,"
221,tutti e due piccoli,PER,4,"Eran tutti e due piccoli , male in"
221,quei poveretti la cui gioventù non consiste in altro che nella data della nascita,PER,14,"puliti ; di quei poveretti la cui gioventù non consiste in altro che nella data della nascita , e che"
222,orfana da bambina,PER,3,", che era orfana da bambina e vissuta molti"
