example_idx,entity,pred_type,length,context
4,Bionda,PER,1,"Bionda , d '"
6,nemici,PER,1,"avesse avuto dei nemici , questi ,"
9,loro critica,PER,2,avrebbero offerto alla loro critica il carattere ed
31,cameretta di donna,FAC,3,La cameretta di donna Marina Negroni era
31,terzo piano del,FAC,3,Negroni era al terzo piano del palazzo d '
31,palazzo d ' Accorsi,FAC,4,terzo piano del palazzo d ' Accorsi .
35,due piani,FAC,2,"' altezza di due piani , una stretta"
35,stretta scala di servizio,FAC,4,"piani , una stretta scala di servizio e giunse sul"
35,pianerottolo,FAC,1,e giunse sul pianerottolo di un grande
41,appartamento di gala della,FAC,4,", l ' appartamento di gala della Duchessa d '"
43,pendolina,PER,1,sguardo su una pendolina in Vieux Sèvres
44,"specie di salotto - serra , piena d ' azalee in fiore",FAC,12,"riescì in una specie di salotto - serra , piena d ' azalee in fiore e di piante"
45,porticina a vetri,FAC,3,"Giunta ad una porticina a vetri , quasi celata"
52,"donna sui quarantacinque , forse più",PER,6,"Una donna sui quarantacinque , forse più . Non bella"
58,scrittoio della Duchessa,PER,3,di fianco allo scrittoio della Duchessa e sostenne senza
63,altri,PER,1,sia quello degli altri .
84,poscia Ginevra,PER,2,attenta — disse poscia Ginevra — tu diventi
104,Guida,PER,1,' occhiata alla Guida e che non
120,mondo,LOC,1,Il mondo diceva della Duchessa
120,mondo,LOC,1,perciò forse il mondo ristava dall '
125,protagonista del mio racconto,PER,4,"domanderete . Il protagonista del mio racconto , il chiarissimo"
125,"chiarissimo Tizio Caio Sempronio , cittadino romano , dell '",PER,10,"racconto , il chiarissimo Tizio Caio Sempronio , cittadino romano , dell ' ordine dei cavalieri"
128,questi tre ordini,PER,3,"io dica essere questi tre ordini , il patrizio"
130,consoli,PER,1,", sotto i consoli Servio Sulpicio Rufo"
130,Servio Sulpicio Rufo,PER,3,sotto i consoli Servio Sulpicio Rufo e Marco Claudio
130,Marco Claudio Marcello,PER,3,"Sulpicio Rufo e Marco Claudio Marcello , egregie persone"
130,egregie persone,PER,2,"Claudio Marcello , egregie persone , di cui"
140,Sabino d ' origine,PER,4,"cavaliere potea vantarsi Sabino d ' origine , non lo"
143,"giovani promettenti , come",PER,4,"vaglia , o giovani promettenti , come Cesare e Catilina"
144,uno dei loro,PER,3,Sempronio non era uno dei loro in certi disegni
145,portici,FAC,1,", sotto i portici , al teatro"
146,istituzioni,ORG,1,di rimutare le istituzioni .
152,abitazione di Tizio,FAC,3,fantasia l ' abitazione di Tizio Caio Sempronio .
153,edificio,FAC,1,Figuratevi un edificio diviso in due
153,atrium,FAC,1,": l ' atrium , o cavaedium"
153,cavaedium,FAC,1,"atrium , o cavaedium , coi suoi"
153,stanza intermedia,FAC,2,"riuniti da una stanza intermedia , il tablinum"
153,tablinum,FAC,1,"intermedia , il tablinum , e da"
153,due corridoi ( fauces ),FAC,5,", e da due corridoi ( fauces ) che gli stavano"
155,complesso,FAC,1,"che avete il complesso , il nocciolo"
155,prothyrum,FAC,1,", entriamo pel prothyrum , o vestibolo"
155,vestibolo,FAC,1,"prothyrum , o vestibolo , androne di"
156,"spazio chiuso , rettangolare",FAC,4,". È uno spazio chiuso , rettangolare , i cui"
156,tettoia,FAC,1,"coperti da una tettoia , la quale"
156,bacino,LOC,1,nel pavimento un bacino ( impluvium )
157,tettoia,FAC,1,La tettoia è sorretta da
160,"atrio toscano ,",FAC,3,"era l ' atrio toscano , il più semplice"
161,tettoia,FAC,1,A reggere la tettoia che correva lungo
162,atrio,FAC,1,forma d ' atrio parve ben presto
162,atrio,FAC,1,"inventò l ' atrio tetràstilo , ossia"
165,atrio,FAC,1,; nell ' atrio sfolgoreggia la luce
165,domum,FAC,1,"lanam fecit , domum servavit ) ,"
167,logge,FAC,1,"le pareti delle logge laterali , tra"
168,tablino,FAC,1,", è il tablino , archivio ad"
168,archivio ad un tempo,FAC,4,"il tablino , archivio ad un tempo e sala di"
168,sala di ricevimento,FAC,3,un tempo e sala di ricevimento .
169,archivi della famiglia,FAC,3,"tabulae , gli archivi della famiglia ; ma servì"
170,seconda divisione,FAC,2,che è la seconda divisione della casa .
171,persona che entri dal,PER,4,"magnificenza ! Una persona che entri dal vestibolo , può"
174,tabernacolo degli dei Lari,FAC,4,' è il tabernacolo degli dei Lari .
175,spiriti guardiani,PER,2,"Erano questi gli spiriti guardiani , le anime"
175,protettori,PER,1,"facevano ufficio di protettori , nell '"
176,"giovinetti succinti , inghirlandati di alloro",PER,6,"costantemente rappresentati come giovinetti succinti , inghirlandati di alloro , e in"
178,tabernacolo,FAC,1,davanti a un tabernacolo in cui si
178,dei Penati,PER,2,"si adoravano gli dei Penati , o patroni"
178,patroni della famiglia,PER,3,"Penati , o patroni della famiglia , che potevano"
178,altro qualsivoglia degli abitatori dell ' Olimpo,PER,7,"Nettuno , od altro qualsivoglia degli abitatori dell ' Olimpo ."
180,colonnato,FAC,1,"casa ; un colonnato , come nell"
180,quattro corridoi,FAC,2,atrio corinzio ; quattro corridoi all ' intorno
180,camere per uso della famiglia,FAC,5,i corridoi le camere per uso della famiglia .
181,cucina,FAC,1,"piante utili alla cucina , se è"
182,Dei alle calende di Marzo,PER,5,"suo conto gli Dei alle calende di Marzo , quando tutta"
